applicant_type,application_number,ben,cnct_email,form_471_manufacturer_name,form_471_product_name,funding_request_number,funding_year,model_of_equipment,monthly_quantity,monthly_recur_ineligible_cost,monthly_recurring_unit_eligible_costs,one_time_eligible_costs,one_time_ineligible_cost,one_time_quantity,organization_name,pre_discount_extended_eligible_line_item_costs,price,standardized_vendor,state,total_eligible_one_time_costs,total_eligible_recurring_costs,total_monthly_cost,total_monthly_eligible_recurring_costs,total_one_time_cost
School,251000537,92394,stephanie.deeringer@esc12.net,Hewlett Packard,Caching Service,2599005393,2025,HPE ProLiant DL360 Gen10,0,0,0,4403.18,0,1,AMHERST SCHOOL,4403.18,Yes,Hp,TX,4403.18,0,0,0,4403.18
School,251017666,92570,clewis@erateprogram.com,Meraki,License,2599021036,2025,MS225-24P	LIC-MS225-24P-5YR,0,0,0,427,0,5,TRINITY CHRISTIAN SCHOOL,2135,No,Cisco,TX,2135,0,0,0,427
School District,251010912,141113,cisom@esc12.net,Ubiquiti,Router,2599013929,2025,EFG,0,0,0,787.43,686.07,2,LORENA INDEP SCHOOL DISTRICT,1574.86,No,Ubiquiti,TX,1574.86,0,0,0,1473.5
School District,251001294,142017,aadams@merkelisd.net,Ruckus,License,2599000891,2025,L09-0001-SGCX,0,0,0,42.11,0,38,MERKEL INDEP SCHOOL DISTRICT,1600.18,No,Ruckus,TX,1600.18,0,0,0,42.11
School District,251021596,140988,mthompson@hisd.us,Fortinet,Switch,2599027400,2025,FortiSwitch-124F-FPOE,0,0,0,2073.5,0,6,HUCKABAY INDEP SCHOOL DISTRICT,12441,Yes,Fortinet,TX,12441,0,0,0,2073.5
School District,251018024,140671,robin.dulock@esc12.net,Ruckus,License,2599022227,2025,CLD-ESNT-APSW -REC5,0,0,0,195.85,0,8,ELYSIAN FIELDS SCHOOL DISTRICT,1566.8,No,Ruckus,TX,1566.8,0,0,0,195.85
School District,251014929,140882,jautry@garnerisd.net,Aruba,Switch,2599017334,2025,JL677A,0,0,0,1200,0,4,GARNER INDEP SCHOOL DISTRICT,4800,No,Hp,TX,4800,0,0,0,1200
School District,251026009,140599,collect-ed@hotmail.com,Extreme Networks,Access Point,2599034754,2025,AP305C-FCC,0,0,0,103.95,0,8,CHAPEL HILL INDEP SCHOOL DIST,831.6,No,Extreme,TX,831.6,0,0,0,103.95
School District,251011525,140564,aalvarez@esc12.net,Netgear,Switch,2599048907,2025,XSM4348S-100NES,0,0,0,5888.38,0,1,ALBA-GOLDEN IND SCHOOL DIST,5888.38,No,Netgear,TX,5888.38,0,0,0,5888.38
School District,251011558,141171,aalvarez@esc12.net,Ubiquiti,"Fees, Taxes, etc.",2599041040,2025,Taxes,0,0,0,449.12,0,1,MILES INDEP SCHOOL DISTRICT,449.12,No,Ubiquiti,TX,449.12,0,0,0,449.12
School District,251024920,141515,atrice@esc12.net,Aruba,Access Point,2599032997,2025,R6W11A,0,0,0,54,0,39,LA VERNIA INDEP SCHOOL DIST,2106,No,Hp,TX,2106,0,0,0,54
School District,251025223,140647,collect-ed@hotmail.com,Meraki,License,2599033485,2025,LIC-ENT-3YR,0,0,0,156.92,0,3,LEARY INDEP SCHOOL DISTRICT,470.76,No,Cisco,TX,470.76,0,0,0,156.92
School District,251038025,140501,kroiuk@kelloggllc.com,Extreme Networks,Module,2599054105,2025,(FERR 140501) 10G-SR-SFP300M-ET8PK | Extreme Networks - SFP+ transceiver module - 10GbE,0,0,0,340.2,0,6,FERRIS INDEPENDENT SCHOOL DISTRICT,2041.2,No,Extreme,TX,2041.2,0,0,0,340.2
School,251033497,198871,apolanco@burnhamwood.org,Cisco Systems,License,2599050891,2025,LIC-ENT-5YR,0,0,0,252,0,16,EL PASO EDUCATION INITIATIVE INC DBA BURNHAM  WOOD CHARTER SCHOOL,4032,No,Cisco,TX,4032,0,0,0,252
School District,251015044,141296,courtney@crwconsulting.com,Meraki,Access Point,2599017503,2025,MR44-HW,0,0,0,585.29,0,87,SEALY INDEP SCHOOL DISTRICT,50920.23,Yes,Cisco,TX,50920.23,0,0,0,585.29
School District,251019016,140594,rtidwell@loisd.net,Aruba,Switch,2599023143,2025,Aruba 6200M 36G 12SR5 Class6 PoE 4SFP+,0,0,0,5750.44,0,3,LONE OAK INDEP SCHOOL DISTRICT,17251.32,No,Hp,TX,17251.32,0,0,0,5750.44
School District,251001294,142017,aadams@merkelisd.net,Ruckus,"Installation, Activation, & Initial Configuration",2599000891,2025,Fuel/Hotel/Perdiem,0,0,0,5947.59,0,1,MERKEL INDEP SCHOOL DISTRICT,5947.59,No,Ruckus,TX,5947.59,0,0,0,5947.59
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,Switch,2599045660,2025,4220-48P-4X,0,0,0,1554,0,6,ARCHER CITY SCHOOL DISTRICT,9324,No,Extreme,TX,9324,0,0,0,1554
School District,251036315,142011,dhanes@ira.esc14.net,Extreme Networks,License,2599051638,2025,Extreme Cloud IQ,0,0,0,160,0,3,IRA INDEP SCHOOL DISTRICT,480,No,Extreme,TX,480,0,0,0,160
School,251017666,92570,clewis@erateprogram.com,Cisco Systems,License,2599021036,2025,LIC-C9300-24E-5Y,0,0,0,1247,0,1,TRINITY CHRISTIAN SCHOOL,1247,No,Cisco,TX,1247,0,0,0,1247
School District,251019547,141357,kimberly@crwconsulting.com,Cisco Systems,Cabling,2599023994,2025,jSTACK-T1-3M=,0,0,0,225.33,0,1,BRIDGE CITY INDEP SCHOOL DIST,225.33,Yes,Cisco,TX,225.33,0,0,0,225.33
School,251017666,92570,clewis@erateprogram.com,Meraki,License,2599021036,2025,MS120-8FP	LIC-MS120-8FP-5YR,0,0,0,92,0,2,TRINITY CHRISTIAN SCHOOL,184,No,Cisco,TX,184,0,0,0,92
School District,251000069,141306,masmith@esc12.net,Juniper Networks,Cabling,2599021003,2025,FN-CABLE-SFP+1,0,0,0,41,0,2,COLUMBIA-BRAZORIA IND SCH DIST,82,No,Hp,TX,82,0,0,0,41
School District,251001808,141166,shanda.schmidt@masonisd.net,Extreme Networks,Switch,2599027852,2025,5520-12MW-36W,0,0,0,4559,0,2,MASON INDEP SCHOOL DISTRICT,9118,No,Extreme,TX,9118,0,0,0,4559
School District,251036003,141811,ivan.lopez@bushlandisd.net,Cisco Systems,Switch,2599050999,2025,C9300L-48UXG-4X-M,0,0,0,4856.51,0,3,BUSHLAND INDEP SCHOOL DISTRICT,14569.53,Yes,Cisco,TX,14569.53,0,0,0,4856.51
School District,251001499,140654,collect-ed@hotmail.com,Ruckus,Access Point,2599000916,2025,901-R750-US00,0,0,0,876.64,0,13,MALTA INDEP SCHOOL DISTRICT,11396.32,No,Ruckus,TX,11396.32,0,0,0,876.64
School District,251035258,142087,dhartzell@vstservices.com,Aruba,Cabling,2599049830,2025,DAC-CAB-1M,1,0,0,48,0,1,ALPINE INDEP SCHOOL DISTRICT,48,No,Hp,TX,48,0,0,0,48
School District,251031496,142007,jrutkowski@haskell.esc14.net,Ruckus,UPS/ Battery Backup,2599043953,2025,SMT1500R2X122,0,0,0,944.53,0,2,HASKELL INDEP SCHOOL DISTRICT,1889.06,No,Ruckus,TX,1889.06,0,0,0,944.53
School District,251027665,141507,kroiuk@kelloggllc.com,Extreme Networks,License,2599037605,2025,(FALL 141507) USK12-STD-B-S-C-EW-5Y | ExtremeCloud IQ Pilot with AI Expert; ExtremeWorks Right-to-Use Subscription and TAC OS for One Tier B Device for 5 Years,0,0,0,573.66,0,6,FALLS CITY INDEP SCHOOL DIST,3441.96,No,Extreme,TX,3441.96,0,0,0,573.66
School District,251017529,141376,cliff.joffrion@sbcglobal.net,Cisco Systems,Module,2599020808,2025,Cisco - network stacking module C9200L-STACK-KIT=,0,0,0,738.14,0,14,ORANGEFIELD INDEP SCHOOL DIST,10333.96,No,Cisco,TX,10333.96,0,0,0,738.14
School District,251038042,142049,dhartzell@vstservices.com,Meraki,License,2599054116,2025,LIC-MS355-48X2-5Y,1,0,0,1419.23,0,9,ANDREWS INDEP SCHOOL DISTRICT,12773.07,No,Cisco,TX,12773.07,0,0,0,1419.23
School District,251023409,140932,gwarma@kelloggllc.com,Cisco Systems,License,2599030451,2025,(Keller 140932) E3N-AIRWLN-ED-A | Wireless CISCO DNA EDU EAAdvantage,0,0,0,66.96,0,3728,KELLER ISD,249626.88,No,Cisco,TX,249626.88,0,0,0,66.96
School District,251001499,140654,collect-ed@hotmail.com,Cisco Systems,Switch,2599000916,2025,C1200-48P-4G,0,0,0,788.51,0,5,MALTA INDEP SCHOOL DISTRICT,3942.55,No,Cisco,TX,3942.55,0,0,0,788.51
School District,251023662,140672,dbelden@bandrconsultingservices.org,Ruckus Wireless,Access Point,2599030823,2025,901-R770-US00,0,0,0,1117.47,0,1,GARY INDEP SCHOOL DISTRICT,1117.47,No,Ruckus,TX,1117.47,0,0,0,1117.47
School District,251015044,141296,courtney@crwconsulting.com,Aruba,Switch,2599017503,2025,JL324A,0,0,0,3934.12,0,4,SEALY INDEP SCHOOL DISTRICT,15736.48,Yes,Hp,TX,15736.48,0,0,0,3934.12
School District,251019547,141357,kimberly@crwconsulting.com,Cisco Systems,License,2599023994,2025,C9200 L-DNA-E-48-3 Y,0,0,0,662.3,0,12,BRIDGE CITY INDEP SCHOOL DIST,7947.6,Yes,Cisco,TX,7947.6,0,0,0,662.3
School District,251022547,141999,mneal@clydeisd.org,Ruckus,License,2599029203,2025,L09-0001-SGCX,0,0,0,61.36,0,24,CLYDE CONSOL INDEP SCHOOL DIST,1472.64,No,Ruckus,TX,1472.64,0,0,0,61.36
School District,251023409,140932,gwarma@kelloggllc.com,Cisco Systems,License,2599030451,2025,(Keller 140932) E3N-C95005-A | C9500 CISCO DNA EA Advantage48Y4C,0,0,0,1603.83,0,12,KELLER ISD,19245.96,No,Cisco,TX,19245.96,0,0,0,1603.83
School District,251027874,17031480,kristi@ecserate.org,Ubiquiti,Access Point,2599037966,2025,U6-PRO-US,0,0,0,159,0,20,Provision Educational Services,3180,No,Ubiquiti,TX,3180,0,0,0,159
School District,251039621,140806,helmerk@garrisonisd.com,Meraki,Cabling,2599056634,2025,MA-CBL-TA-1M,0,0,0,53.84,0,5,GARRISON INDEP SCHOOL DISTRICT,269.2,Yes,Cisco,TX,269.2,0,0,0,53.84
School District,251019547,141357,kimberly@crwconsulting.com,Cisco Systems,Module,2599023994,2025,SFP-1 OG-LR,0,0,0,62.5,0,10,BRIDGE CITY INDEP SCHOOL DIST,625,Yes,Cisco,TX,625,0,0,0,62.5
Library,251002644,140706,ehosler@e-ratecentral.com,Ubiquiti,Switch,2599007461,2025,MS4056  - USW-24-POE,0,0,0,521,0,2,Pittsburg-Camp County Public Library,1042,No,Ubiquiti,TX,1042,0,0,0,521
School District,251010912,141113,cisom@esc12.net,Ubiquiti,Switch,2599013924,2025,USW-PRO-AGGREGATION,0,0,0,859,0,2,LORENA INDEP SCHOOL DISTRICT,1718,No,Ubiquiti,TX,1718,0,0,0,859
School,251017666,92570,clewis@erateprogram.com,Meraki,License,2599021036,2025,MS225-48FP	LIC-MS225-48FP-5YR,0,0,0,686,0,19,TRINITY CHRISTIAN SCHOOL,13034,No,Cisco,TX,13034,0,0,0,686
School District,251022398,141776,tim@ecspecialists.net,Cisco Systems,Cabling,2599028816,2025,#SFP-H10B-CU1M= SFP+ Copper Twinax Cable,0,0,0,51.05,0,6,KNIPPA INDEP SCHOOL DISTRICT,306.3,No,Cisco,TX,306.3,0,0,0,51.05
School District,251010912,141113,cisom@esc12.net,Ubiquiti,Switch,2599013924,2025,USW-PRO-MAX-48-POE,0,0,0,1229,0,30,LORENA INDEP SCHOOL DISTRICT,36870,No,Ubiquiti,TX,36870,0,0,0,1229
School District,251040817,141062,twolf@hollandisd.org,Meraki,License,2599058343,2025,LIC-ENT-3yr,1,0,0,219.67,0,70,HOLLAND INDEP SCHOOL DISTRICT,15376.9,No,Cisco,TX,15376.9,0,0,0,219.67
School District,251001294,142017,aadams@merkelisd.net,Ruckus,"Installation, Activation, & Initial Configuration",2599000891,2025,Infrastructure,0,0,0,10639.29,0,1,MERKEL INDEP SCHOOL DISTRICT,10639.29,No,Ruckus,TX,10639.29,0,0,0,10639.29
School District,251012930,140947,collect-ed@hotmail.com,Aruba,Module,2599014423,2025,JL086A,0,0,0,394.83,0,4,S & S C.I.S.D.,1579.32,No,Hp,TX,1579.32,0,0,0,394.83
School District,251026009,140599,collect-ed@hotmail.com,Extreme Networks,License,2599034754,2025,AP305C-FCC,0,0,0,119.73,0,8,CHAPEL HILL INDEP SCHOOL DIST,957.84,No,Extreme,TX,957.84,0,0,0,119.73
School District,251040450,141060,tim@ecspecialists.net,Hewlett Packard,License,2599057759,2025,"#Q9Y73AAE, HPE Central Foundation - Subscription License - 1 Switch (24 Ports) - 1  Year",0,0,0,107.14,0,7,HAMILTON INDEP SCHOOL DISTRICT,749.98,No,Hp,TX,749.98,0,0,0,107.14
School District,251006691,141258,bcrubaugh@e-ratecentral.com,Meraki,License,2599028391,2025,LIC-MS390-48E-5Y,0,0,0,1960.09,0,99,MAGNOLIA INDEP SCHOOL DISTRICT,194048.91,No,Cisco,TX,194048.91,0,0,0,1960.09
School District,251025060,141460,dbrown@banderaisd.net,Ubiquiti,Router,2599033226,2025,EFG,0,0,0,972.82,847.58,4,BANDERA INDEP SCHOOL DISTRICT,3891.28,No,Ubiquiti,TX,3891.28,0,0,0,1820.4
School District,251013680,141585,glopez@sgisd.net,Meraki,Access Point,2599015590,2025,MR46-HW,0,0,0,872.5,0,7,SANTA GERTRUDIS INDEP SCH DIST,6107.5,No,Cisco,TX,6107.5,0,0,0,872.5
School District,251040991,141440,jhernandez@ganadoisd.net,Extreme Networks,Access Point,2599058698,2025,AP-MBO-ART Mounting Bracket,0,0,0,120,0,2,GANADO INDEP SCHOOL DISTRICT,240,No,Extreme,TX,240,0,0,0,120
School District,251033925,140817,dhartzell@vstservices.com,Extreme Networks,License,2599047852,2025,USK12-STD-A-S-C-EW-5Y-5,1,0,0,206.62,0,43,CENTRAL HEIGHTS INDEP SCH DIST,8884.66,No,Extreme,TX,8884.66,0,0,0,206.62
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,Switch,2599027108,2025,7520-48Y-8C-AC-F,0,0,0,7023.37,0,6,PEARLAND IND. SCHOOL DISTRICT,42140.22,Yes,Extreme,TX,42140.22,0,0,0,7023.37
School District,251033113,140579,collect-ed@hotmail.com,Ubiquiti,Access Point,2599046554,2025,U6-ENTERPRISE-US,0,0,0,293,0,20,MILLER GROVE SCHOOL DISTRICT,5860,No,Ubiquiti,TX,5860,0,0,0,293
School District,251038025,140501,kroiuk@kelloggllc.com,Extreme Networks,License,2599054105,2025,(FERR 140501) USK12-STD-A-S-C-EW-5Y | Extreme Networks ExtremeCloud IQ Pilot + Extreme AI Expert - Right-To-Use s,0,0,0,168.2,0,346,FERRIS INDEPENDENT SCHOOL DISTRICT,58197.2,No,Extreme,TX,58197.2,0,0,0,168.2
School District,251038042,142049,dhartzell@vstservices.com,Meraki,License,2599054116,2025,LIC-MS125-24P-5Y,1,0,0,278.39,0,5,ANDREWS INDEP SCHOOL DISTRICT,1391.95,No,Cisco,TX,1391.95,0,0,0,278.39
School District,251022547,141999,mneal@clydeisd.org,Ruckus,Access Point,2599029203,2025,901-R770-US00,0,0,0,1092.63,0,113,CLYDE CONSOL INDEP SCHOOL DIST,123467.19,No,Ruckus,TX,123467.19,0,0,0,1092.63
School District,251022547,141999,mneal@clydeisd.org,Ruckus,Access Point,2599029203,2025,901-R670-US00,0,0,0,840,0,10,CLYDE CONSOL INDEP SCHOOL DIST,8400,No,Ruckus,TX,8400,0,0,0,840
School,251036316,89054,cbalbo@ocerate.com,Ubiquiti,Cabling,2599051687,2025,UACC-DAC-SFP10-0.5M,0,0,0,26,0,3,ST ANNE SCHOOL-HOUSTON,78,No,Ubiquiti,TX,78,0,0,0,26
School District,251000069,141306,masmith@esc12.net,Juniper Networks,License,2599021003,2025,S-EX-S-C2-5M1-C-E,0,0,0,342.32,0,18,COLUMBIA-BRAZORIA IND SCH DIST,6161.76,No,Hp,TX,6161.76,0,0,0,342.32
School District,251012522,140832,mholzapfel@wodenisd.org,Ubiquiti,"Installation, Activation, & Initial Configuration",2599013886,2025,U6 _installation,0,0,0,0,930,1,WODEN INDEP SCHOOL DISTRICT,0,Yes,Ubiquiti,TX,0,0,0,0,930
School District,251022913,141511,pbaker@kcisd.net,Cisco Systems,Access Point,2599029712,2025,C9120AXI-B-EDU,0,0,0,1082.34,0,65,KARNES CITY INDEP SCHOOL DIST,70352.1,No,Cisco,TX,70352.1,0,0,0,1082.34
School,251017666,92570,clewis@erateprogram.com,Meraki,Access Point,2599021036,2025,MR78-HW,0,0,0,478,0,10,TRINITY CHRISTIAN SCHOOL,4780,No,Cisco,TX,4780,0,0,0,478
School District,251012833,141406,cisom@esc12.net,Aruba,Transceiver,2599022981,2025,J9151E,0,0,0,1482.8,0,8,CALDWELL INDEP SCHOOL DISTRICT,11862.4,No,Hp,TX,11862.4,0,0,0,1482.8
School District,251028514,141424,technology@nzisd.org,Meraki,Switch,2599040950,2025,MS130-48X-HW,0,0,0,3708.45,0,1,NORTH ZULCH SCHOOL DISTRICT,3708.45,No,Cisco,TX,3708.45,0,0,0,3708.45
School,251039850,17000319,tim@ecspecialists.net,Ubiquiti,Switch,2599056861,2025,"#ECS-48-PoE (2150W), Switch L3 48 ports 16 x 2.5 GbE PoE+++",0,0,0,4318.92,0,5,St. Philip's School & Community Center,21594.6,Yes,Ubiquiti,TX,21594.6,0,0,0,4318.92
School District,251031496,142007,jrutkowski@haskell.esc14.net,Ruckus,"Installation, Activation, & Initial Configuration",2599043953,2025,Professional Services,0,0,0,3500,0,1,HASKELL INDEP SCHOOL DISTRICT,3500,No,Ruckus,TX,3500,0,0,0,3500
School,251019151,86142,ignacio.gonzalez@estreamtech.com,Meraki,License,2599023388,2025,MR 36 License,0,0,0,214.5,0,2,ST. MARY OF CARMEL SCHOOL,429,No,Cisco,TX,429,0,0,0,214.5
School District,251030978,141524,jmckee@pawneeisd.net,Meraki,Transceiver,2599043088,2025,MA-SFP-10GB-SR,0,0,0,588.49,0,4,PAWNEE INDEPENDENT SCHOOL DISTRICT,2353.96,No,Cisco,TX,2353.96,0,0,0,588.49
School District,251022547,141999,mneal@clydeisd.org,Ruckus,"Installation, Activation, & Initial Configuration",2599029203,2025,Installation Labor,0,0,0,8837.5,0,1,CLYDE CONSOL INDEP SCHOOL DIST,8837.5,Yes,Ruckus,TX,8837.5,0,0,0,8837.5
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,License,2599045660,2025,USK12-STD-A-S-C-EW-5Y,0,0,0,219,0,98,ARCHER CITY SCHOOL DISTRICT,21462,No,Extreme,TX,21462,0,0,0,219
School District,251001797,141962,susan.vardeman@esc12.net,Meraki,Switch,2599007690,2025,C9300-48P-M,0,0,0,3870,0,7,SEAGRAVES Independent School District,27090,No,Cisco,TX,27090,0,0,0,3870
School,251031671,89006,cbalbo@ocerate.com,Aruba,Module,2599044247,2025,JL087A#ABA,0,0,0,507,0,10,ST PIUS X HIGH SCHOOL,5070,No,Hp,TX,5070,0,0,0,507
School District,251022341,16020929,gwarma@kelloggllc.com,Cisco Systems,Cabling,2599028702,2025,STACK=T1-50CM=,0,0,0,51.42,0,13,Faith Family Kids,668.46,No,Cisco,TX,668.46,0,0,0,51.42
School District,251019016,140594,rtidwell@loisd.net,Aruba,Transceiver,2599023143,2025,SFP+ 10GbE Part#S2P31A,0,0,0,877.46,0,6,LONE OAK INDEP SCHOOL DISTRICT,5264.76,No,Hp,TX,5264.76,0,0,0,877.46
School District,251022398,141776,tim@ecspecialists.net,Cisco Systems,License,2599028816,2025,#C9200-DNA-E-48-3Y Digital Network Architecture License (3 years),0,0,0,458.98,0,5,KNIPPA INDEP SCHOOL DISTRICT,2294.9,No,Cisco,TX,2294.9,0,0,0,458.98
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,Access Point,2599045660,2025,AP4000-WW,0,0,0,324,0,0,ARCHER CITY SCHOOL DISTRICT,0,No,Extreme,TX,0,0,0,0,324
School District,251005152,140836,khinojosa@esc12.net,Ubiquiti,Switch,2599034556,2025,UBI-USWPROMAX48POE,0,0,0,1331.48,0,13,ZAVALLA INDEP SCHOOL DISTRICT,17309.24,No,Ubiquiti,TX,17309.24,0,0,0,1331.48
School District,251031496,142007,jrutkowski@haskell.esc14.net,Ruckus,Cabling,2599043953,2025,NEMA5-15/C13,0,0,0,22.81,0,4,HASKELL INDEP SCHOOL DISTRICT,91.24,No,Ruckus,TX,91.24,0,0,0,22.81
School District,251017529,141376,cliff.joffrion@sbcglobal.net,Cisco Systems,Switch,2599020808,2025,C9300L-48PF-4X-EDU,0,0,0,5644.68,0,1,ORANGEFIELD INDEP SCHOOL DIST,5644.68,No,Cisco,TX,5644.68,0,0,0,5644.68
School District,251013027,140705,atrice@esc12.net,Ubiquiti,Cabling,2599014554,2025,UACC-DAC-SFP28-3M,0,0,0,36.73,0,10,PITTSBURG INDEP SCHOOL DIST,367.3,No,Ubiquiti,TX,367.3,0,0,0,36.73
School District,251011552,141848,aalvarez@esc12.net,Ubiquiti,Access Point,2599029654,2025,UBB-US,0,0,0,488.67,0,2,LEFORS INDEP SCHOOL DISTRICT,977.34,No,Ubiquiti,TX,977.34,0,0,0,488.67
School District,251000069,141306,masmith@esc12.net,Juniper Networks,License,2599021003,2025,S-EX-S-C3-5M1-C-E,0,0,0,563.64,0,43,COLUMBIA-BRAZORIA IND SCH DIST,24236.52,No,Hp,TX,24236.52,0,0,0,563.64
School District,251033113,140579,collect-ed@hotmail.com,Ubiquiti,Wireless Controller,2599046554,2025,UCK-G2-SSD,0,0,0,261,0,1,MILLER GROVE SCHOOL DISTRICT,261,No,Ubiquiti,TX,261,0,0,0,261
School,251041851,87929,lluna@holytrinitychs.org,Meraki,License,2599060012,2025,"MS225-24P License, 1 YR",0,0,0,177.05,0,2,HOLY TRINITY CATHOLIC HIGH SCH,354.1,No,Cisco,TX,354.1,0,0,0,177.05
School District,251011552,141848,aalvarez@esc12.net,Meraki,License,2599029654,2025,C9200-DNA-E48-3Y,0,0,0,503.53,0,1,LEFORS INDEP SCHOOL DISTRICT,503.53,No,Cisco,TX,503.53,0,0,0,503.53
School,251013558,17018706,milan.eaton@eratepro.com,Meraki,Access Point,2599015397,2025,MR36,0,0,0,685.61,0,6,Rite of Passage - Lake Granbury Academy,4113.66,No,Cisco,TX,4113.66,0,0,0,685.61
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Switch,2599057932,2025,C9300-48UN-EDU,1,0,0,5027.26,0,11,FORNEY INDEP SCHOOL DISTRICT,55299.86,No,Cisco,TX,55299.86,0,0,0,5027.26
School District,251012643,141109,barrington@esc12.net,Ubiquiti,Access Point,2599014014,2025,U6-MESH-US,0,0,0,183.23,0,2,IREDELL INDEP SCHOOL DISTRICT,366.46,No,Ubiquiti,TX,366.46,0,0,0,183.23
School District,251011558,141171,aalvarez@esc12.net,Ubiquiti,Switch,2599041040,2025,USW-PRO-MAX-16-POE,0,0,0,360.35,0,4,MILES INDEP SCHOOL DISTRICT,1441.4,No,Ubiquiti,TX,1441.4,0,0,0,360.35
School District,251029377,140995,tim@ecspecialists.net,Fortinet,License,2599040465,2025,FortiAP-431F 1 Year FortiCare,0,0,0,51.24,0,0,BRIDGEPORT INDEP SCHOOL DIST,0,No,Fortinet,TX,0,0,0,0,51.24
School District,251009019,141058,barrington@esc12.net,Meraki,Cabling,2599009406,2025,STACK-T1-50CM-M,0,0,0,56.44,0.57,2,GATESVILLE ISD,112.88,No,Cisco,TX,112.88,0,0,0,57.01
School District,251012522,140832,mholzapfel@wodenisd.org,Ubiquiti,Access Point,2599013886,2025,U6-Enterprise,0,0,0,283.28,26.56,35,WODEN INDEP SCHOOL DISTRICT,9914.8,No,Ubiquiti,TX,9914.8,0,0,0,309.84
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Access Point,2599057932,2025,C9136I-B-EDU,1,0,0,1023.39,0,69,FORNEY INDEP SCHOOL DISTRICT,70613.91,No,Cisco,TX,70613.91,0,0,0,1023.39
School District,251025992,141084,sburkhart@thrallisd.org,Cisco Systems,License,2599052066,2025,Cisco Meraki MR Series Enterprise subscription license 3-year,0,0,0,139.3,0,49,THRALL INDEP SCHOOL DISTRICT,6825.7,No,Cisco,TX,6825.7,0,0,0,139.3
School District,251019016,140594,rtidwell@loisd.net,Aruba,Module,2599023143,2025,Aruba X372 Part# JL087A#ABA,0,0,0,548.74,0,6,LONE OAK INDEP SCHOOL DISTRICT,3292.44,No,Hp,TX,3292.44,0,0,0,548.74
School,251036316,89054,cbalbo@ocerate.com,Ubiquiti,Access Point,2599051687,2025,UBI-U7-PRO-US,0,0,0,198.48,0,72,ST ANNE SCHOOL-HOUSTON,14290.56,No,Ubiquiti,TX,14290.56,0,0,0,198.48
School District,251033925,140817,dhartzell@vstservices.com,Extreme Networks,Switch,2599047852,2025,5320-24P-8XE,1,0,0,1318.47,0,11,CENTRAL HEIGHTS INDEP SCH DIST,14503.17,No,Extreme,TX,14503.17,0,0,0,1318.47
School District,251035258,142087,dhartzell@vstservices.com,Aruba,Cabling,2599049830,2025,DAC-CAB-3M,1,0,0,63,0,1,ALPINE INDEP SCHOOL DISTRICT,63,No,Hp,TX,63,0,0,0,63
School District,251012930,140947,collect-ed@hotmail.com,Aruba,Switch,2599014423,2025,R8Q68A,0,0,0,3072.33,0,4,S & S C.I.S.D.,12289.32,No,Hp,TX,12289.32,0,0,0,3072.33
School District,251022547,141999,mneal@clydeisd.org,Ruckus,Access Point,2599029203,2025,901-T670-US01,0,0,0,1303.17,0,1,CLYDE CONSOL INDEP SCHOOL DIST,1303.17,No,Ruckus,TX,1303.17,0,0,0,1303.17
School District,251038070,140953,dhartzell@vstservices.com,Ubiquiti,Firewall Services & Components,2599054156,2025,EFG,1,0,0,2500,0,2,VALLEY VIEW INDEP SCHOOL DIST,5000,No,Ubiquiti,TX,5000,0,0,0,2500
School,251037831,86818,clewis@erateprogram.com,Ubiquiti,Switch,2599053773,2025,USW-Pro-Max-48-PoE,0,0,0,1272.3,0,10,GRACE COMMUNITY SCHOOL,12723,No,Ubiquiti,TX,12723,0,0,0,1272.3
School District,251008636,141526,mcalhoun@pothisd.us,Meraki,License,2599008818,2025,LIC-ENT-5YR,0,0,0,331.57,0,6,POTH INDEP SCHOOL DISTRICT,1989.42,No,Cisco,TX,1989.42,0,0,0,331.57
School District,251001499,140654,collect-ed@hotmail.com,Ruckus,Access Point,2599000916,2025,901-T750-US01,0,0,0,2421.67,0,1,MALTA INDEP SCHOOL DISTRICT,2421.67,No,Ruckus,TX,2421.67,0,0,0,2421.67
School,251036316,89054,cbalbo@ocerate.com,Ubiquiti,Access Point,2599051687,2025,E7 Enterprise,0,0,0,476.79,0,4,ST ANNE SCHOOL-HOUSTON,1907.16,No,Ubiquiti,TX,1907.16,0,0,0,476.79
School District,251000623,141095,trains@esc12.net,Ruckus Wireless,Cabling,2599042031,2025,10G-SFPP-TWX-P-0101,0,0,0,71.39,0,96,CHINA SPRING INDEPENDENT SCHOOL DISTRICT,6853.44,No,Ruckus,TX,6853.44,0,0,0,71.39
School,251006606,86277,ignacio.gonzalez@estreamtech.com,Meraki,Firewall Services & Components,2599006189,2025,MX250-HW,0,0,0,4921.54,0,0,BISHOP LYNCH HIGH SCHOOL,0,No,Cisco,TX,0,0,0,0,4921.54
